target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,GR,2026-04-26,3,quantile,0.75,690.2783395783499,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.75,644.7230559793395,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.8,866.1287099384784,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.8,788.867262981659,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.8,723.2083368747491,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.8,677.9446886305219,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.85,909.8472000455795,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.85,836.6334496215926,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.85,766.0303151073027,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.85,723.3521651632674,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.9,959.626364416968,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.9,897.6494473409813,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.9,822.8739572351253,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.9,779.6149376644828,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.95,1063.345868715721,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.95,992.3788821655431,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.95,905.0460710263907,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.95,868.381823296666,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.975,1136.3452614768296,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.975,1054.333786164631,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.975,986.9479346823217,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.975,925.3890138980156,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.99,1206.7450728096699,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.99,1107.0147922404583,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.99,1076.5726328958733,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.99,995.4073476563244,2026-04-15
ILI incidence,GR,2026-04-12,1,median,,661.8823155702428,2026-04-15
ILI incidence,GR,2026-04-19,2,median,,610.9564155602386,2026-04-15
ILI incidence,GR,2026-04-26,3,median,,548.8676850632203,2026-04-15
ILI incidence,GR,2026-05-03,4,median,,499.7359146665962,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.01,0.0,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.01,0.0,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.01,0.0,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.01,0.0,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.025,0.1430194542134827,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.025,0.0,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.025,0.0,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.025,0.0,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.05,2.4485997894048626,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.05,0.0,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.05,0.0,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.05,0.0,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.1,5.249139878532358,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.1,0.8606146642977163,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.1,0.0,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.1,0.0,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.15,6.870778885364433,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.15,3.2019908575754923,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.15,0.0,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.15,0.0,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.2,8.796186904742637,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.2,4.7796312898668445,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.2,0.23505164010717033,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.2,0.0,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.25,10.425795788637185,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.25,6.179465153391888,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.25,1.3730136445732122,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.25,0.0,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.3,11.744141657167994,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.3,7.602575016228418,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.3,2.723763777128299,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.3,0.2188815686443277,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.35,12.655354482402297,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.35,8.912704364936745,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.35,4.172995115819593,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.35,1.3626616280511272,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.4,14.12237660668225,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.4,10.305396704410276,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.4,5.359500428974833,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.4,2.704642421517597,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.45,14.944635001575286,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.45,11.491191671552038,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.45,6.217243144286831,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.45,4.066142400179909,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.5,15.954814810487463,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.5,12.546076262169253,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.5,7.402289304690717,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.5,5.161326074092931,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.55,17.174907540841076,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.55,13.576597209872764,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.55,8.428895867965284,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.55,6.361076962935397,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.6,18.20550484560952,2026-04-15
