target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-04-19,1,quantile,0.01,0.0,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.01,0.0,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.01,0.0,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.01,0.0,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.025,0.0,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.025,0.0,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.025,0.0,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.025,0.0,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.05,0.0,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.05,0.0,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.05,0.0,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.05,0.0,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.1,0.0,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.1,0.0,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.1,0.0,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.1,0.0,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.15,0.0,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.15,0.0,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.15,0.0,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.15,0.0,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.2,0.0,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.2,0.0,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.2,0.0,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.2,0.0,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.25,0.0,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.25,0.0,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.25,0.0,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.25,0.0,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.3,3.0833927121035516,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.3,0.0,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.3,0.0,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.3,0.0,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.35,19.683734973345288,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.35,0.0,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.35,0.0,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.35,0.0,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.4,35.33015884057133,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.4,6.69176200143758,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.4,0.0,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.4,2.973606024042779,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.45,57.25286964274283,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.45,18.297606106430422,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.45,3.9765838314146875,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.45,24.144383860667855,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.5,71.73247298236805,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.5,35.96046984408183,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.5,19.79234494998557,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.5,40.386978050979934,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.55,88.29024577205102,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.55,55.18663477778835,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.55,37.99899426675664,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.55,52.99359276988634,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.6,105.5460749492719,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.6,70.21237709628853,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.6,49.94771739656254,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.6,68.00465352165857,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.65,121.26589309004527,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.65,86.34678880058915,2026-04-22
