target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,GR,2026-04-12,1,quantile,0.01,447.77016112457324,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.01,394.4967305537136,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.01,364.33265551244983,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.01,320.88886831749784,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.025,507.6256351552428,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.025,402.36137274751616,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.025,408.2963994446804,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.025,366.81158885905927,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.05,515.7593675419819,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.05,404.5648670398185,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.05,431.0120731816088,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.05,375.3437771976877,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.1,525.8013513670355,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.1,451.7836159964077,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.1,439.949995000041,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.1,392.05773035991626,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.15,535.5792654078581,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.15,461.79229011704285,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.15,473.2977898957659,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.15,407.0659360781376,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.2,541.3667591156608,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.2,486.16214785072054,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.2,479.7641304331083,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.2,415.1564042695412,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.25,546.1419542449381,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.25,501.26945640261863,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.25,482.42797484492047,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.25,420.4296271559414,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.3,551.1079197220726,2026-04-15
