target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-04-26,2,quantile,0.75,52.59317681316214,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.75,62.95358613393761,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.75,45.0681062424651,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.8,70.13836454973205,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.8,52.95397686874495,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.8,64.44710014034963,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.8,45.37636734914518,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.85,73.51781723463321,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.85,54.11604995983553,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.85,65.81718937512741,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.85,47.435941677548634,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.9,74.8361031922472,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.9,56.426025200783755,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.9,67.29609666923376,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.9,48.00515323819585,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.95,77.5935423945852,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.95,62.320404879880556,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.95,68.21748840077703,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.95,52.73784520607093,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.975,83.53627335411143,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.975,66.71160500161183,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.975,69.01049861960746,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.975,62.343434139699916,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.99,83.92118760255185,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.99,86.32479481044687,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.99,69.66565636310474,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.99,62.639778392285066,2026-04-22
ILI incidence,BE,2026-04-19,1,median,,66.69450214289522,2026-04-22
ILI incidence,BE,2026-04-26,2,median,,49.02901680176774,2026-04-22
ILI incidence,BE,2026-05-03,3,median,,57.414552551057184,2026-04-22
ILI incidence,BE,2026-05-10,4,median,,42.58365956760013,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.01,453.3709691495384,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.01,407.29509545897787,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.01,385.99665391883104,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.01,371.0754803804441,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.025,470.4948065007151,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.025,415.9653514106888,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.025,399.97028160804075,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.025,386.84020231780806,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.05,491.0909167342419,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.05,432.52705507931887,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.05,426.19636479146993,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.05,393.3297404359931,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.1,507.32679023515595,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.1,445.132494127833,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.1,436.85055338233207,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.1,407.2220831450332,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.15,530.2397750673757,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.15,451.0346518893248,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.15,442.3870583763339,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.15,417.98126633060076,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.2,531.7125505828737,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.2,462.1858983160974,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.2,446.60862112778227,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.2,427.11635702825487,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.25,532.5931090659886,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.25,470.62773475526404,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.25,448.4338631720416,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.25,436.7975095938848,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.3,536.0786902631194,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.3,481.288242502992,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.3,451.14985676456894,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.3,464.13746676838355,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.35,540.5423560532719,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.35,485.7811425018668,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.35,453.4909173692749,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.35,467.94411967129616,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.4,546.0839708818017,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.4,491.1241573347096,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.4,455.10621068577166,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.4,474.1565291178138,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.45,551.351836938821,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.45,493.1409195753943,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.45,456.83071980221104,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.45,478.2711118953651,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.5,553.3486196740675,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.5,493.7461797517134,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.5,459.8052334278649,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.5,479.5300455294498,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.55,554.0673454099558,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.55,495.4881878447345,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.55,462.55175506216824,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.55,480.8613253639608,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.6,555.7658227053714,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.6,498.2259568407838,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.6,465.52161888514587,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.6,482.28508361799527,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.65,557.7686289931045,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.65,500.05352574373586,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.65,467.4530350680336,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.65,483.5939320699528,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.7,559.5169285190531,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.7,501.68032630500153,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.7,470.9845991850525,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.7,485.56188841130813,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.75,561.2618735749247,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.75,505.561581873669,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.75,474.8904065727436,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.75,493.17403583473947,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.8,567.1264805696022,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.8,510.9141156607639,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.8,479.8873059321648,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.8,504.8532257759021,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.85,575.3950125792724,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.85,516.7594814808049,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.85,484.6754525417086,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.85,519.8790545787313,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.9,594.7061284931267,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.9,531.5762327438023,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.9,488.6816553122953,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.9,559.1600412051752,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.95,621.1127359643956,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.95,547.7842563013852,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.95,495.69716736109376,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.95,562.7721040804038,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.975,638.2183247456408,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.975,577.5002843099752,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.975,518.3532775089927,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.975,569.5854417151818,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.99,650.8217174072554,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.99,641.0160092021339,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.99,548.8999845450749,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.99,578.551486990129,2026-04-22
ILI incidence,GR,2026-04-19,1,median,,553.3486196740675,2026-04-22
ILI incidence,GR,2026-04-26,2,median,,493.7461797517134,2026-04-22
ILI incidence,GR,2026-05-03,3,median,,459.8052334278649,2026-04-22
ILI incidence,GR,2026-05-10,4,median,,479.5300455294498,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.01,0.4473445375292585,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.01,0.5625180580175961,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.01,0.9019868335643082,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.01,0.9997717597961748,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.025,1.1802922847924637,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.025,0.5800372279363996,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.025,0.9502261369344304,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.025,1.4912453579389542,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.05,1.6452945833547228,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.05,0.5994775988288004,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.05,1.1853637939079553,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.05,1.5706256730900294,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.1,1.7472401764158776,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.1,0.6654187992571582,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.1,1.3957594262082649,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.1,1.740377672827749,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.15,1.8312041637570324,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.15,0.7499444029588718,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.15,1.4435941255345537,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.15,1.7885416075851326,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.2,1.8790311096144532,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.2,0.7855907798240868,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.2,1.4938653735555905,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.2,1.833699176185764,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.25,1.9001053906348429,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.25,0.8367692976684735,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.25,1.5453595177785677,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.25,1.8782084711916962,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.3,1.9521008372970068,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.3,0.884637320564521,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.3,1.6006143225540956,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.3,1.9347023867990596,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.35,2.0287899151305337,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.35,0.9377443397574076,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.35,1.6535596159357246,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.35,1.9894131038443557,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.4,2.0846461894789714,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.4,0.9946084710391653,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.4,1.7156686918839816,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.4,2.0474438720539703,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.45,2.099414115140688,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.45,1.0522602559029017,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.45,1.7728856955582333,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.45,2.105952522962393,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.5,2.1401704967232513,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.5,1.1155958949246867,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.5,1.8325368556311679,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.5,2.182308274660289,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.55,2.2483575381728955,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.55,1.1755404744495201,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.55,1.900530929526927,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.55,2.2620561844744693,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.6,2.3279292849683313,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.6,1.2171469982087049,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.6,1.9615567475941669,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.6,2.353026561728759,2026-04-22
