origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.01,28.30
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.01,18.00
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.01,10.24
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.01,5.20
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.025,29.50
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.025,18.67
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.025,11.12
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.025,6.00
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.05,30.50
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.05,19.76
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.05,11.80
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.05,6.50
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.1,31.80
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.1,20.95
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.1,12.87
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.1,7.12
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.15,32.59
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.15,21.80
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.15,13.52
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.15,7.76
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.2,33.50
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.2,22.56
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.2,14.16
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.2,8.32
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.25,34.24
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.25,23.20
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.25,14.80
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.25,8.88
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.3,34.88
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.3,24.00
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.3,15.48
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.3,9.30
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.35,35.60
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.35,24.80
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.35,16.16
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.35,9.84
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.4,36.60
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.4,25.60
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.4,17.00
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.4,10.60
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.45,37.36
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.45,26.67
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.45,17.78
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.45,11.28
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.5,38.00
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.5,27.44
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.5,18.70
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.5,12.00
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.55,38.70
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.55,28.18
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.55,19.36
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.55,12.64
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.6,39.20
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.6,28.83
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.6,20.10
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.6,13.29
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.65,39.76
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.65,29.50
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.65,20.80
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.65,13.80
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.7,40.40
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.7,30.20
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.7,21.40
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.7,14.48
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.75,40.96
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.75,30.80
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.75,22.08
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.75,15.00
2026-04-15,ILI incidence,2026-04-12,1,BE,quantile,0.8,41.60
2026-04-15,ILI incidence,2026-04-19,2,BE,quantile,0.8,31.40
2026-04-15,ILI incidence,2026-04-26,3,BE,quantile,0.8,22.65
2026-04-15,ILI incidence,2026-05-03,4,BE,quantile,0.8,15.60
