target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-04-26,2,quantile,0.75,86.39748350130824,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.75,83.76770706795907,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.75,62.88999332527738,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.8,103.52369026895138,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.8,95.87256836503086,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.8,84.81739076565513,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.8,70.24729756649249,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.85,115.9091761726333,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.85,97.33516193153552,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.85,87.00351996438584,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.85,72.07625251211144,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.9,117.34907297433146,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.9,99.51898821002517,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.9,90.3371146512688,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.9,77.76105295270372,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.95,128.10812981950738,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.95,108.95520499992027,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.95,93.95316524550849,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.95,88.45874948730099,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.975,132.95661862468057,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.975,120.50844484715093,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.975,95.9276115704003,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.975,102.73550487808916,2026-04-22
ILI incidence,BE,2026-04-19,1,quantile,0.99,137.1615008587063,2026-04-22
ILI incidence,BE,2026-04-26,2,quantile,0.99,135.87125798987353,2026-04-22
ILI incidence,BE,2026-05-03,3,quantile,0.99,108.91499246354812,2026-04-22
ILI incidence,BE,2026-05-10,4,quantile,0.99,104.96443614694222,2026-04-22
ILI incidence,BE,2026-04-19,1,median,,86.66893247320316,2026-04-22
ILI incidence,BE,2026-04-26,2,median,,75.75700452446699,2026-04-22
ILI incidence,BE,2026-05-03,3,median,,71.05305669276535,2026-04-22
ILI incidence,BE,2026-05-10,4,median,,51.65519862292341,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.01,353.77409370746216,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.01,363.5150958126966,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.01,355.6655693079296,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.01,371.96076184736853,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.025,361.97844018055576,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.025,375.87738227528905,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.025,361.57765875913054,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.025,376.09107973003665,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.05,447.9049992575575,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.05,384.4527077832117,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.05,372.0170852456744,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.05,381.57869136497663,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.1,455.38893251558767,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.1,391.50856394479985,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.1,385.70738541199626,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.1,397.7141665801678,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.15,456.62069955380974,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.15,404.90363637961457,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.15,388.9497678087191,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.15,403.42163296679377,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.2,468.8846889300739,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.2,406.63618209049366,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.2,392.577600336843,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.2,412.20551350093547,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.25,476.3985123661487,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.25,413.8467455327469,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.25,395.7223619441534,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.25,419.63687112480227,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.3,486.41528045247884,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.3,418.6212049721115,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.3,400.3143553320798,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.3,422.5725404811038,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.35,497.7618779087327,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.35,423.10386687773473,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.35,407.1153370771637,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.35,425.12780228747573,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.4,504.78443529662974,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.4,425.6451052674751,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.4,414.63943655557483,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.4,428.8630503160822,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.45,508.2188097859087,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.45,426.98566898279824,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.45,428.9525456561593,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.45,434.0766659206346,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.5,512.7483132789763,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.5,432.4655633501501,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.5,442.849642611773,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.5,437.8949825668964,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.55,524.5499471402558,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.55,437.3213307327795,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.55,443.3865906707542,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.55,441.1567101306635,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.6,532.3595820952571,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.6,440.19947565101415,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.6,449.0379959584959,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.6,443.88385368908985,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.65,536.6022929132585,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.65,451.6289899168784,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.65,451.9005019490932,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.65,447.91807132405154,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.7,542.691732855361,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.7,466.71109477075447,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.7,453.0112412670868,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.7,448.48209090831654,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.75,547.4630180673261,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.75,479.92251635484604,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.75,460.31978045390474,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.75,452.2411536957831,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.8,550.7723489549791,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.8,502.14628733937417,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.8,468.5447999514027,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.8,457.91362124413143,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.85,558.6319735882555,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.85,510.36497041081304,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.85,474.88374927315897,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.85,462.7731838930021,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.9,580.7253392269922,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.9,524.2660025533692,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.9,487.83210020209293,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.9,477.7872741820568,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.95,599.2395551055454,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.95,531.6353816813886,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.95,510.07272333302615,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.95,478.99792507362076,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.975,608.5757843181406,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.975,533.8134162433486,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.975,519.3992056739447,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.975,485.7424017017328,2026-04-22
ILI incidence,GR,2026-04-19,1,quantile,0.99,658.7304440236759,2026-04-22
ILI incidence,GR,2026-04-26,2,quantile,0.99,535.4719809224237,2026-04-22
ILI incidence,GR,2026-05-03,3,quantile,0.99,580.0790826549697,2026-04-22
ILI incidence,GR,2026-05-10,4,quantile,0.99,550.0862970164145,2026-04-22
ILI incidence,GR,2026-04-19,1,median,,512.7483132789763,2026-04-22
ILI incidence,GR,2026-04-26,2,median,,432.4655633501501,2026-04-22
ILI incidence,GR,2026-05-03,3,median,,442.849642611773,2026-04-22
ILI incidence,GR,2026-05-10,4,median,,437.8949825668964,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.01,1.363749532009043,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.01,0.0,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.01,0.0,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.01,1.3022861129683094,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.025,1.707820504295531,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.025,0.715015885989675,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.025,0.10481911460568309,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.025,1.8123879155985867,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.05,2.3023978498962903,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.05,0.7166487377706895,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.05,1.5613288130051732,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.05,2.1949802976552295,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.1,2.6844215751592575,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.1,0.7957831041941951,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.1,1.878958082511851,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.1,3.1267250155490114,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.15,2.960580438028719,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.15,1.0226187477759636,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.15,1.9509214727831135,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.15,3.2113439824156083,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.2,3.0761407100611766,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.2,1.0975384573304525,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.2,2.062765155858176,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.2,3.280596360634421,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.25,3.228633506738726,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.25,1.1311741406609124,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.25,2.132210680952234,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.25,3.297842875959047,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.3,3.3155195062402845,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.3,1.1646667991959812,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.3,2.189661714386856,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.3,3.5230192938827125,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.35,3.3855673953440855,2026-04-22
