target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,GR,2026-04-12,1,quantile,0.01,444.53327879412865,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.01,348.55911842119514,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.01,376.5603617673678,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.01,351.3013416716356,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.025,448.33946621112653,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.025,423.84602394088074,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.025,410.69897641428764,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.025,357.6954809387562,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.05,465.34259943070185,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.05,471.3982329331586,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.05,424.3465645133092,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.05,387.18563350129074,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.1,484.2973558053612,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.1,507.144197101376,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.1,429.180240356709,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.1,394.65876472759965,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.15,490.0581162202726,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.15,515.3989878856377,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.15,437.2535549645821,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.15,397.53460186522597,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.2,493.2415227292038,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.2,519.0753946623523,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.2,462.7765661389866,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.2,402.8056724726532,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.25,496.8554219297928,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.25,522.0469086094367,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.25,468.4478627579315,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.25,408.4546008620229,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.3,499.5827898950808,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.3,523.6905545045317,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.3,470.08354993280443,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.3,421.25190544380314,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.35,501.06605663045303,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.35,527.476895697074,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.35,472.5380435495975,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.35,437.91497424644126,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.4,503.3606325724519,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.4,532.0850035533549,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.4,474.19256178806415,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.4,449.17418489806226,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.45,510.26751843149697,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.45,539.7048769703099,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.45,475.79434933962,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.45,452.48826184759463,2026-04-15
ILI incidence,GR,2026-04-12,1,quantile,0.5,517.1820650877497,2026-04-15
ILI incidence,GR,2026-04-19,2,quantile,0.5,545.5321209281199,2026-04-15
ILI incidence,GR,2026-04-26,3,quantile,0.5,477.29321558413045,2026-04-15
ILI incidence,GR,2026-05-03,4,quantile,0.5,456.09433326082006,2026-04-15
