target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-04-15,2026-04-12,0.01,1,quantile,747.100042752424
ILI incidence,AT,2026-04-15,2026-04-12,0.025,1,quantile,811.311179983056
ILI incidence,AT,2026-04-15,2026-04-12,0.05,1,quantile,955.515602700152
ILI incidence,AT,2026-04-15,2026-04-12,0.1,1,quantile,1095.59851812656
ILI incidence,AT,2026-04-15,2026-04-12,0.15,1,quantile,1195.61767835534
ILI incidence,AT,2026-04-15,2026-04-12,0.2,1,quantile,1281.07516603392
ILI incidence,AT,2026-04-15,2026-04-12,0.25,1,quantile,1359.23138462554
ILI incidence,AT,2026-04-15,2026-04-12,0.3,1,quantile,1422.39567750314
ILI incidence,AT,2026-04-15,2026-04-12,0.35,1,quantile,1471.26137509639
ILI incidence,AT,2026-04-15,2026-04-12,0.4,1,quantile,1540.28791010925
ILI incidence,AT,2026-04-15,2026-04-12,0.45,1,quantile,1608.04527798288
ILI incidence,AT,2026-04-15,2026-04-12,0.5,1,quantile,1684.25555252269
ILI incidence,AT,2026-04-15,2026-04-12,0.55,1,quantile,1743.44136791145
ILI incidence,AT,2026-04-15,2026-04-12,0.6,1,quantile,1804.32633116642
ILI incidence,AT,2026-04-15,2026-04-12,0.65,1,quantile,1860.82854812293
ILI incidence,AT,2026-04-15,2026-04-12,0.7,1,quantile,1939.87646831922
ILI incidence,AT,2026-04-15,2026-04-12,0.75,1,quantile,1997.54227144523
ILI incidence,AT,2026-04-15,2026-04-12,0.8,1,quantile,2073.21921691706
ILI incidence,AT,2026-04-15,2026-04-12,0.85,1,quantile,2192.45717137002
ILI incidence,AT,2026-04-15,2026-04-12,0.9,1,quantile,2332.40615136775
ILI incidence,AT,2026-04-15,2026-04-12,0.95,1,quantile,2557.6151615071
ILI incidence,AT,2026-04-15,2026-04-12,0.975,1,quantile,2718.574605274
ILI incidence,AT,2026-04-15,2026-04-12,0.99,1,quantile,2873.48435254301
ILI incidence,AT,2026-04-15,2026-04-19,0.01,2,quantile,569.954613191207
ILI incidence,AT,2026-04-15,2026-04-19,0.025,2,quantile,664.59948431372
ILI incidence,AT,2026-04-15,2026-04-19,0.05,2,quantile,756.005974008856
ILI incidence,AT,2026-04-15,2026-04-19,0.1,2,quantile,903.913388993374
ILI incidence,AT,2026-04-15,2026-04-19,0.15,2,quantile,982.743878713882
ILI incidence,AT,2026-04-15,2026-04-19,0.2,2,quantile,1079.22166562443
ILI incidence,AT,2026-04-15,2026-04-19,0.25,2,quantile,1145.96003775039
ILI incidence,AT,2026-04-15,2026-04-19,0.3,2,quantile,1234.8008642427
ILI incidence,AT,2026-04-15,2026-04-19,0.35,2,quantile,1296.72988507751
ILI incidence,AT,2026-04-15,2026-04-19,0.4,2,quantile,1364.27881244218
ILI incidence,AT,2026-04-15,2026-04-19,0.45,2,quantile,1429.7534533391
ILI incidence,AT,2026-04-15,2026-04-19,0.5,2,quantile,1480.49538618429
ILI incidence,AT,2026-04-15,2026-04-19,0.55,2,quantile,1545.93495999165
ILI incidence,AT,2026-04-15,2026-04-19,0.6,2,quantile,1615.81521119969
ILI incidence,AT,2026-04-15,2026-04-19,0.65,2,quantile,1696.87420402816
ILI incidence,AT,2026-04-15,2026-04-19,0.7,2,quantile,1775.0961474387
ILI incidence,AT,2026-04-15,2026-04-19,0.75,2,quantile,1877.27477739138
ILI incidence,AT,2026-04-15,2026-04-19,0.8,2,quantile,1995.69669252684
ILI incidence,AT,2026-04-15,2026-04-19,0.85,2,quantile,2105.98501582485
ILI incidence,AT,2026-04-15,2026-04-19,0.9,2,quantile,2266.61558075299
ILI incidence,AT,2026-04-15,2026-04-19,0.95,2,quantile,2535.41867944209
