target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-04-22,2026-04-19,0.01,1,quantile,508.840543706871
ILI incidence,AT,2026-04-22,2026-04-19,0.025,1,quantile,560.078676366276
ILI incidence,AT,2026-04-22,2026-04-19,0.05,1,quantile,663.451489074633
ILI incidence,AT,2026-04-22,2026-04-19,0.1,1,quantile,772.794599047719
ILI incidence,AT,2026-04-22,2026-04-19,0.15,1,quantile,847.571891132474
ILI incidence,AT,2026-04-22,2026-04-19,0.2,1,quantile,922.68478600415
ILI incidence,AT,2026-04-22,2026-04-19,0.25,1,quantile,988.041736324592
ILI incidence,AT,2026-04-22,2026-04-19,0.3,1,quantile,1031.84431291495
ILI incidence,AT,2026-04-22,2026-04-19,0.35,1,quantile,1075.9852697151
ILI incidence,AT,2026-04-22,2026-04-19,0.4,1,quantile,1132.54753117067
ILI incidence,AT,2026-04-22,2026-04-19,0.45,1,quantile,1180.57420296552
ILI incidence,AT,2026-04-22,2026-04-19,0.5,1,quantile,1242.42729252365
ILI incidence,AT,2026-04-22,2026-04-19,0.55,1,quantile,1279.8467304206
ILI incidence,AT,2026-04-22,2026-04-19,0.6,1,quantile,1340.61014294897
ILI incidence,AT,2026-04-22,2026-04-19,0.65,1,quantile,1376.93536276803
ILI incidence,AT,2026-04-22,2026-04-19,0.7,1,quantile,1434.15027157833
ILI incidence,AT,2026-04-22,2026-04-19,0.75,1,quantile,1489.11404282626
ILI incidence,AT,2026-04-22,2026-04-19,0.8,1,quantile,1560.98792694023
ILI incidence,AT,2026-04-22,2026-04-19,0.85,1,quantile,1646.1849935104
ILI incidence,AT,2026-04-22,2026-04-19,0.9,1,quantile,1768.90415771489
ILI incidence,AT,2026-04-22,2026-04-19,0.95,1,quantile,1938.56006372894
ILI incidence,AT,2026-04-22,2026-04-19,0.975,1,quantile,2074.34362493297
ILI incidence,AT,2026-04-22,2026-04-19,0.99,1,quantile,2234.647054069
ILI incidence,AT,2026-04-22,2026-04-26,0.01,2,quantile,375.392039049082
ILI incidence,AT,2026-04-22,2026-04-26,0.025,2,quantile,462.826746401632
ILI incidence,AT,2026-04-22,2026-04-26,0.05,2,quantile,519.247888229987
ILI incidence,AT,2026-04-22,2026-04-26,0.1,2,quantile,622.326100613771
ILI incidence,AT,2026-04-22,2026-04-26,0.15,2,quantile,688.636366062956
ILI incidence,AT,2026-04-22,2026-04-26,0.2,2,quantile,766.452517903362
ILI incidence,AT,2026-04-22,2026-04-26,0.25,2,quantile,823.631825969395
ILI incidence,AT,2026-04-22,2026-04-26,0.3,2,quantile,886.374640449898
ILI incidence,AT,2026-04-22,2026-04-26,0.35,2,quantile,939.942171033198
ILI incidence,AT,2026-04-22,2026-04-26,0.4,2,quantile,983.767178153788
ILI incidence,AT,2026-04-22,2026-04-26,0.45,2,quantile,1032.03312764755
ILI incidence,AT,2026-04-22,2026-04-26,0.5,2,quantile,1072.34257711916
ILI incidence,AT,2026-04-22,2026-04-26,0.55,2,quantile,1122.50289827575
ILI incidence,AT,2026-04-22,2026-04-26,0.6,2,quantile,1186.75291492241
ILI incidence,AT,2026-04-22,2026-04-26,0.65,2,quantile,1248.93316116562
ILI incidence,AT,2026-04-22,2026-04-26,0.7,2,quantile,1316.04407602565
ILI incidence,AT,2026-04-22,2026-04-26,0.75,2,quantile,1394.11069686066
ILI incidence,AT,2026-04-22,2026-04-26,0.8,2,quantile,1486.14332958778
ILI incidence,AT,2026-04-22,2026-04-26,0.85,2,quantile,1588.93184134709
ILI incidence,AT,2026-04-22,2026-04-26,0.9,2,quantile,1720.89055251874
ILI incidence,AT,2026-04-22,2026-04-26,0.95,2,quantile,1946.9629748923
ILI incidence,AT,2026-04-22,2026-04-26,0.975,2,quantile,2199.85472366179
ILI incidence,AT,2026-04-22,2026-04-26,0.99,2,quantile,2505.47145849253
ILI incidence,AT,2026-04-22,2026-05-03,0.01,3,quantile,272.437871626259
ILI incidence,AT,2026-04-22,2026-05-03,0.025,3,quantile,336.05832274356
ILI incidence,AT,2026-04-22,2026-05-03,0.05,3,quantile,403.161540630354
ILI incidence,AT,2026-04-22,2026-05-03,0.1,3,quantile,490.616952586709
ILI incidence,AT,2026-04-22,2026-05-03,0.15,3,quantile,565.071826122362
ILI incidence,AT,2026-04-22,2026-05-03,0.2,3,quantile,627.912569415
ILI incidence,AT,2026-04-22,2026-05-03,0.25,3,quantile,671.576520202508
ILI incidence,AT,2026-04-22,2026-05-03,0.3,3,quantile,730.982983720719
ILI incidence,AT,2026-04-22,2026-05-03,0.35,3,quantile,767.370303684801
ILI incidence,AT,2026-04-22,2026-05-03,0.4,3,quantile,817.747549606796
ILI incidence,AT,2026-04-22,2026-05-03,0.45,3,quantile,886.669409528153
ILI incidence,AT,2026-04-22,2026-05-03,0.5,3,quantile,942.594360648224
ILI incidence,AT,2026-04-22,2026-05-03,0.55,3,quantile,996.7286219924
ILI incidence,AT,2026-04-22,2026-05-03,0.6,3,quantile,1064.22175123801
ILI incidence,AT,2026-04-22,2026-05-03,0.65,3,quantile,1131.80477573437
ILI incidence,AT,2026-04-22,2026-05-03,0.7,3,quantile,1207.90846588258
ILI incidence,AT,2026-04-22,2026-05-03,0.75,3,quantile,1312.4833191685
ILI incidence,AT,2026-04-22,2026-05-03,0.8,3,quantile,1398.70810121976
ILI incidence,AT,2026-04-22,2026-05-03,0.85,3,quantile,1550.54234820919
ILI incidence,AT,2026-04-22,2026-05-03,0.9,3,quantile,1700.25054750369
ILI incidence,AT,2026-04-22,2026-05-03,0.95,3,quantile,2000.65839638401
ILI incidence,AT,2026-04-22,2026-05-03,0.975,3,quantile,2283.38211455101
ILI incidence,AT,2026-04-22,2026-05-03,0.99,3,quantile,2488.89301425487
ILI incidence,AT,2026-04-22,2026-05-10,0.01,4,quantile,183.485988367682
ILI incidence,AT,2026-04-22,2026-05-10,0.025,4,quantile,257.249446455581
ILI incidence,AT,2026-04-22,2026-05-10,0.05,4,quantile,306.87078250623
ILI incidence,AT,2026-04-22,2026-05-10,0.1,4,quantile,395.359525474651
ILI incidence,AT,2026-04-22,2026-05-10,0.15,4,quantile,473.768320672148
ILI incidence,AT,2026-04-22,2026-05-10,0.2,4,quantile,527.530291939795
ILI incidence,AT,2026-04-22,2026-05-10,0.25,4,quantile,573.585577151019
ILI incidence,AT,2026-04-22,2026-05-10,0.3,4,quantile,627.037611826454
ILI incidence,AT,2026-04-22,2026-05-10,0.35,4,quantile,674.059230352617
ILI incidence,AT,2026-04-22,2026-05-10,0.4,4,quantile,747.995436194198
ILI incidence,AT,2026-04-22,2026-05-10,0.45,4,quantile,788.370269408825
ILI incidence,AT,2026-04-22,2026-05-10,0.5,4,quantile,843.282198116766
ILI incidence,AT,2026-04-22,2026-05-10,0.55,4,quantile,902.002706664175
ILI incidence,AT,2026-04-22,2026-05-10,0.6,4,quantile,972.70891887252
ILI incidence,AT,2026-04-22,2026-05-10,0.65,4,quantile,1031.94902479462
ILI incidence,AT,2026-04-22,2026-05-10,0.7,4,quantile,1108.54642531378
ILI incidence,AT,2026-04-22,2026-05-10,0.75,4,quantile,1199.53172125782
ILI incidence,AT,2026-04-22,2026-05-10,0.8,4,quantile,1343.6269625246
ILI incidence,AT,2026-04-22,2026-05-10,0.85,4,quantile,1500.62171713241
ILI incidence,AT,2026-04-22,2026-05-10,0.9,4,quantile,1674.3605767728
ILI incidence,AT,2026-04-22,2026-05-10,0.95,4,quantile,1999.48825895514
ILI incidence,AT,2026-04-22,2026-05-10,0.975,4,quantile,2293.96149534834
ILI incidence,AT,2026-04-22,2026-05-10,0.99,4,quantile,2648.89573849396
ILI incidence,AT,2026-04-22,2026-04-19,,1,median,1242.42729252365
ILI incidence,AT,2026-04-22,2026-04-26,,2,median,1072.34257711916
ILI incidence,AT,2026-04-22,2026-05-03,,3,median,942.594360648224
ILI incidence,AT,2026-04-22,2026-05-10,,4,median,843.282198116766
ILI incidence,BE,2026-04-22,2026-04-19,0.01,1,quantile,10.4133814529683
ILI incidence,BE,2026-04-22,2026-04-19,0.025,1,quantile,13.1889796763785
ILI incidence,BE,2026-04-22,2026-04-19,0.05,1,quantile,15.9728902748621
ILI incidence,BE,2026-04-22,2026-04-19,0.1,1,quantile,19.1411599241449
ILI incidence,BE,2026-04-22,2026-04-19,0.15,1,quantile,22.6373834535801
ILI incidence,BE,2026-04-22,2026-04-19,0.2,1,quantile,24.7297571663501
ILI incidence,BE,2026-04-22,2026-04-19,0.25,1,quantile,26.5787756122065
ILI incidence,BE,2026-04-22,2026-04-19,0.3,1,quantile,28.5328187860135
ILI incidence,BE,2026-04-22,2026-04-19,0.35,1,quantile,30.0297511471448
ILI incidence,BE,2026-04-22,2026-04-19,0.4,1,quantile,32.0991927055041
ILI incidence,BE,2026-04-22,2026-04-19,0.45,1,quantile,33.6252964133206
ILI incidence,BE,2026-04-22,2026-04-19,0.5,1,quantile,35.2001047345773
ILI incidence,BE,2026-04-22,2026-04-19,0.55,1,quantile,37.0143219593689
ILI incidence,BE,2026-04-22,2026-04-19,0.6,1,quantile,38.7690067729471
ILI incidence,BE,2026-04-22,2026-04-19,0.65,1,quantile,40.8527839045711
ILI incidence,BE,2026-04-22,2026-04-19,0.7,1,quantile,43.2404681187968
ILI incidence,BE,2026-04-22,2026-04-19,0.75,1,quantile,45.944912978782
ILI incidence,BE,2026-04-22,2026-04-19,0.8,1,quantile,49.8092852216714
ILI incidence,BE,2026-04-22,2026-04-19,0.85,1,quantile,53.2945909364495
ILI incidence,BE,2026-04-22,2026-04-19,0.9,1,quantile,59.2682481044633
ILI incidence,BE,2026-04-22,2026-04-19,0.95,1,quantile,67.0816077823656
ILI incidence,BE,2026-04-22,2026-04-19,0.975,1,quantile,74.2468136595942
ILI incidence,BE,2026-04-22,2026-04-19,0.99,1,quantile,88.1873197441061
ILI incidence,BE,2026-04-22,2026-04-26,0.01,2,quantile,6.303306444873
ILI incidence,BE,2026-04-22,2026-04-26,0.025,2,quantile,8.41421124089703
ILI incidence,BE,2026-04-22,2026-04-26,0.05,2,quantile,10.8301507303579
ILI incidence,BE,2026-04-22,2026-04-26,0.1,2,quantile,15.4954790136594
ILI incidence,BE,2026-04-22,2026-04-26,0.15,2,quantile,18.326614929476
ILI incidence,BE,2026-04-22,2026-04-26,0.2,2,quantile,20.8644186542031
ILI incidence,BE,2026-04-22,2026-04-26,0.25,2,quantile,23.1029941417806
ILI incidence,BE,2026-04-22,2026-04-26,0.3,2,quantile,25.4369922000701
ILI incidence,BE,2026-04-22,2026-04-26,0.35,2,quantile,27.6512016285733
ILI incidence,BE,2026-04-22,2026-04-26,0.4,2,quantile,30.7343368305284
ILI incidence,BE,2026-04-22,2026-04-26,0.45,2,quantile,33.0527581165163
ILI incidence,BE,2026-04-22,2026-04-26,0.5,2,quantile,35.1244825638537
ILI incidence,BE,2026-04-22,2026-04-26,0.55,2,quantile,37.7689012216104
ILI incidence,BE,2026-04-22,2026-04-26,0.6,2,quantile,40.5021113757229
ILI incidence,BE,2026-04-22,2026-04-26,0.65,2,quantile,43.7637438827251
ILI incidence,BE,2026-04-22,2026-04-26,0.7,2,quantile,47.4794516959456
ILI incidence,BE,2026-04-22,2026-04-26,0.75,2,quantile,50.2328161043879
ILI incidence,BE,2026-04-22,2026-04-26,0.8,2,quantile,55.3806674658441
ILI incidence,BE,2026-04-22,2026-04-26,0.85,2,quantile,60.9702632664741
ILI incidence,BE,2026-04-22,2026-04-26,0.9,2,quantile,71.7908429260164
ILI incidence,BE,2026-04-22,2026-04-26,0.95,2,quantile,88.1733839519046
ILI incidence,BE,2026-04-22,2026-04-26,0.975,2,quantile,102.404597851153
ILI incidence,BE,2026-04-22,2026-04-26,0.99,2,quantile,122.5423949017
ILI incidence,BE,2026-04-22,2026-05-03,0.01,3,quantile,4.44298669603932
ILI incidence,BE,2026-04-22,2026-05-03,0.025,3,quantile,6.64660469046273
ILI incidence,BE,2026-04-22,2026-05-03,0.05,3,quantile,8.59531296689226
ILI incidence,BE,2026-04-22,2026-05-03,0.1,3,quantile,13.2418460650665
ILI incidence,BE,2026-04-22,2026-05-03,0.15,3,quantile,15.697678338053
ILI incidence,BE,2026-04-22,2026-05-03,0.2,3,quantile,18.6405285011511
ILI incidence,BE,2026-04-22,2026-05-03,0.25,3,quantile,20.5787302567444
ILI incidence,BE,2026-04-22,2026-05-03,0.3,3,quantile,23.6901366179776
ILI incidence,BE,2026-04-22,2026-05-03,0.35,3,quantile,27.2737382723509
ILI incidence,BE,2026-04-22,2026-05-03,0.4,3,quantile,29.5000170500613
ILI incidence,BE,2026-04-22,2026-05-03,0.45,3,quantile,32.699738097445
ILI incidence,BE,2026-04-22,2026-05-03,0.5,3,quantile,35.8108614282886
ILI incidence,BE,2026-04-22,2026-05-03,0.55,3,quantile,38.8683245530017
ILI incidence,BE,2026-04-22,2026-05-03,0.6,3,quantile,42.6362703253132
ILI incidence,BE,2026-04-22,2026-05-03,0.65,3,quantile,47.2849970212622
ILI incidence,BE,2026-04-22,2026-05-03,0.7,3,quantile,52.086245331642
ILI incidence,BE,2026-04-22,2026-05-03,0.75,3,quantile,58.4203126232124
ILI incidence,BE,2026-04-22,2026-05-03,0.8,3,quantile,65.6458439481322
ILI incidence,BE,2026-04-22,2026-05-03,0.85,3,quantile,76.3235028376995
ILI incidence,BE,2026-04-22,2026-05-03,0.9,3,quantile,88.7489070857038
ILI incidence,BE,2026-04-22,2026-05-03,0.95,3,quantile,112.291519712957
ILI incidence,BE,2026-04-22,2026-05-03,0.975,3,quantile,150.502740817022
ILI incidence,BE,2026-04-22,2026-05-03,0.99,3,quantile,208.659752045412
ILI incidence,BE,2026-04-22,2026-05-10,0.01,4,quantile,5.28472540458059
ILI incidence,BE,2026-04-22,2026-05-10,0.025,4,quantile,6.59425241963164
ILI incidence,BE,2026-04-22,2026-05-10,0.05,4,quantile,8.04366022275382
ILI incidence,BE,2026-04-22,2026-05-10,0.1,4,quantile,11.3606157499131
ILI incidence,BE,2026-04-22,2026-05-10,0.15,4,quantile,14.3846578301132
ILI incidence,BE,2026-04-22,2026-05-10,0.2,4,quantile,17.4090093989422
ILI incidence,BE,2026-04-22,2026-05-10,0.25,4,quantile,20.0957583447566
ILI incidence,BE,2026-04-22,2026-05-10,0.3,4,quantile,23.7178407393768
ILI incidence,BE,2026-04-22,2026-05-10,0.35,4,quantile,27.0903366318826
ILI incidence,BE,2026-04-22,2026-05-10,0.4,4,quantile,30.4920137348053
ILI incidence,BE,2026-04-22,2026-05-10,0.45,4,quantile,34.4790635291002
ILI incidence,BE,2026-04-22,2026-05-10,0.5,4,quantile,37.1065791216343
ILI incidence,BE,2026-04-22,2026-05-10,0.55,4,quantile,41.0104212718498
ILI incidence,BE,2026-04-22,2026-05-10,0.6,4,quantile,45.7634041462619
ILI incidence,BE,2026-04-22,2026-05-10,0.65,4,quantile,50.6596817455449
ILI incidence,BE,2026-04-22,2026-05-10,0.7,4,quantile,56.3229455084303
ILI incidence,BE,2026-04-22,2026-05-10,0.75,4,quantile,65.6506656145676
ILI incidence,BE,2026-04-22,2026-05-10,0.8,4,quantile,75.0558135390161
ILI incidence,BE,2026-04-22,2026-05-10,0.85,4,quantile,87.7490466485156
ILI incidence,BE,2026-04-22,2026-05-10,0.9,4,quantile,106.541684540492
ILI incidence,BE,2026-04-22,2026-05-10,0.95,4,quantile,139.89390771277
ILI incidence,BE,2026-04-22,2026-05-10,0.975,4,quantile,183.448360080954
ILI incidence,BE,2026-04-22,2026-05-10,0.99,4,quantile,281.821151353187
ILI incidence,BE,2026-04-22,2026-04-19,,1,median,35.2001047345773
ILI incidence,BE,2026-04-22,2026-04-26,,2,median,35.1244825638537
ILI incidence,BE,2026-04-22,2026-05-03,,3,median,35.8108614282886
ILI incidence,BE,2026-04-22,2026-05-10,,4,median,37.1065791216343
ILI incidence,CH,2026-04-22,2026-04-19,0.01,1,quantile,1.66482725013147
ILI incidence,CH,2026-04-22,2026-04-19,0.025,1,quantile,1.9498064939909
ILI incidence,CH,2026-04-22,2026-04-19,0.05,1,quantile,2.4159123123739
ILI incidence,CH,2026-04-22,2026-04-19,0.1,1,quantile,3.71761527929305
ILI incidence,CH,2026-04-22,2026-04-19,0.15,1,quantile,5.94081583965943
ILI incidence,CH,2026-04-22,2026-04-19,0.2,1,quantile,7.6526663196745
ILI incidence,CH,2026-04-22,2026-04-19,0.25,1,quantile,9.9931668399675
ILI incidence,CH,2026-04-22,2026-04-19,0.3,1,quantile,11.673213456597
ILI incidence,CH,2026-04-22,2026-04-19,0.35,1,quantile,13.6598206377516
ILI incidence,CH,2026-04-22,2026-04-19,0.4,1,quantile,15.0803624923774
