target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-04-15,2026-04-12,0.01,1,quantile,569.056772583674
ILI incidence,AT,2026-04-15,2026-04-12,0.025,1,quantile,685.520570894091
ILI incidence,AT,2026-04-15,2026-04-12,0.05,1,quantile,873.509108870304
ILI incidence,AT,2026-04-15,2026-04-12,0.1,1,quantile,1097.96581190716
ILI incidence,AT,2026-04-15,2026-04-12,0.15,1,quantile,1238.31212477439
ILI incidence,AT,2026-04-15,2026-04-12,0.2,1,quantile,1354.94728047328
ILI incidence,AT,2026-04-15,2026-04-12,0.25,1,quantile,1476.85446594162
ILI incidence,AT,2026-04-15,2026-04-12,0.3,1,quantile,1587.61275170166
ILI incidence,AT,2026-04-15,2026-04-12,0.35,1,quantile,1676.97155908912
ILI incidence,AT,2026-04-15,2026-04-12,0.4,1,quantile,1780.44183959988
ILI incidence,AT,2026-04-15,2026-04-12,0.45,1,quantile,1891.42267729977
ILI incidence,AT,2026-04-15,2026-04-12,0.5,1,quantile,2024.66515481168
ILI incidence,AT,2026-04-15,2026-04-12,0.55,1,quantile,2113.42729656844
ILI incidence,AT,2026-04-15,2026-04-12,0.6,1,quantile,2241.37372472545
ILI incidence,AT,2026-04-15,2026-04-12,0.65,1,quantile,2391.13092836919
ILI incidence,AT,2026-04-15,2026-04-12,0.7,1,quantile,2545.33669387739
ILI incidence,AT,2026-04-15,2026-04-12,0.75,1,quantile,2715.5170618617
ILI incidence,AT,2026-04-15,2026-04-12,0.8,1,quantile,2885.25067124311
ILI incidence,AT,2026-04-15,2026-04-12,0.85,1,quantile,3096.04408040737
ILI incidence,AT,2026-04-15,2026-04-12,0.9,1,quantile,3357.15840208141
ILI incidence,AT,2026-04-15,2026-04-12,0.95,1,quantile,3722.71570787245
ILI incidence,AT,2026-04-15,2026-04-12,0.975,1,quantile,4089.66193217904
ILI incidence,AT,2026-04-15,2026-04-12,0.99,1,quantile,4648.69165413018
ILI incidence,AT,2026-04-15,2026-04-19,0.01,2,quantile,465.989861622536
ILI incidence,AT,2026-04-15,2026-04-19,0.025,2,quantile,615.185158244401
ILI incidence,AT,2026-04-15,2026-04-19,0.05,2,quantile,720.024687663126
ILI incidence,AT,2026-04-15,2026-04-19,0.1,2,quantile,926.661863229867
ILI incidence,AT,2026-04-15,2026-04-19,0.15,2,quantile,1050.52094442119
ILI incidence,AT,2026-04-15,2026-04-19,0.2,2,quantile,1178.07321711368
ILI incidence,AT,2026-04-15,2026-04-19,0.25,2,quantile,1289.17697465457
ILI incidence,AT,2026-04-15,2026-04-19,0.3,2,quantile,1401.18358147006
ILI incidence,AT,2026-04-15,2026-04-19,0.35,2,quantile,1536.51456516392
ILI incidence,AT,2026-04-15,2026-04-19,0.4,2,quantile,1662.08498809829
ILI incidence,AT,2026-04-15,2026-04-19,0.45,2,quantile,1782.61846160456
ILI incidence,AT,2026-04-15,2026-04-19,0.5,2,quantile,1918.05905051237
ILI incidence,AT,2026-04-15,2026-04-19,0.55,2,quantile,2058.9492335789
ILI incidence,AT,2026-04-15,2026-04-19,0.6,2,quantile,2246.86480612227
ILI incidence,AT,2026-04-15,2026-04-19,0.65,2,quantile,2413.39442111809
ILI incidence,AT,2026-04-15,2026-04-19,0.7,2,quantile,2557.03226563022
ILI incidence,AT,2026-04-15,2026-04-19,0.75,2,quantile,2749.03508116984
ILI incidence,AT,2026-04-15,2026-04-19,0.8,2,quantile,2940.12672572452
ILI incidence,AT,2026-04-15,2026-04-19,0.85,2,quantile,3188.42539438556
ILI incidence,AT,2026-04-15,2026-04-19,0.9,2,quantile,3471.43679130567
