target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-04-22,2026-04-19,0.01,1,quantile,387.934645905181
ILI incidence,AT,2026-04-22,2026-04-19,0.025,1,quantile,471.575944059908
ILI incidence,AT,2026-04-22,2026-04-19,0.05,1,quantile,618.059434075211
ILI incidence,AT,2026-04-22,2026-04-19,0.1,1,quantile,783.526661605917
ILI incidence,AT,2026-04-22,2026-04-19,0.15,1,quantile,898.851069368352
ILI incidence,AT,2026-04-22,2026-04-19,0.2,1,quantile,988.632185718367
ILI incidence,AT,2026-04-22,2026-04-19,0.25,1,quantile,1083.70024298555
ILI incidence,AT,2026-04-22,2026-04-19,0.3,1,quantile,1165.72563323247
ILI incidence,AT,2026-04-22,2026-04-19,0.35,1,quantile,1237.36222412342
ILI incidence,AT,2026-04-22,2026-04-19,0.4,1,quantile,1326.34565217899
ILI incidence,AT,2026-04-22,2026-04-19,0.45,1,quantile,1413.07514877344
ILI incidence,AT,2026-04-22,2026-04-19,0.5,1,quantile,1496.96430446708
ILI incidence,AT,2026-04-22,2026-04-19,0.55,1,quantile,1591.91521204618
ILI incidence,AT,2026-04-22,2026-04-19,0.6,1,quantile,1690.24799463732
ILI incidence,AT,2026-04-22,2026-04-19,0.65,1,quantile,1815.40889645674
ILI incidence,AT,2026-04-22,2026-04-19,0.7,1,quantile,1918.43952725749
ILI incidence,AT,2026-04-22,2026-04-19,0.75,1,quantile,2061.09679439487
ILI incidence,AT,2026-04-22,2026-04-19,0.8,1,quantile,2214.60694396358
ILI incidence,AT,2026-04-22,2026-04-19,0.85,1,quantile,2379.89108253689
ILI incidence,AT,2026-04-22,2026-04-19,0.9,1,quantile,2605.78667460651
ILI incidence,AT,2026-04-22,2026-04-19,0.95,1,quantile,2923.57001378082
ILI incidence,AT,2026-04-22,2026-04-19,0.975,1,quantile,3257.32964875989
ILI incidence,AT,2026-04-22,2026-04-19,0.99,1,quantile,3793.28412124072
ILI incidence,AT,2026-04-22,2026-04-26,0.01,2,quantile,308.312907798538
ILI incidence,AT,2026-04-22,2026-04-26,0.025,2,quantile,389.653083303206
ILI incidence,AT,2026-04-22,2026-04-26,0.05,2,quantile,481.4640143533
ILI incidence,AT,2026-04-22,2026-04-26,0.1,2,quantile,620.274431730034
ILI incidence,AT,2026-04-22,2026-04-26,0.15,2,quantile,715.441202525361
ILI incidence,AT,2026-04-22,2026-04-26,0.2,2,quantile,826.578176283189
ILI incidence,AT,2026-04-22,2026-04-26,0.25,2,quantile,896.274732931521
ILI incidence,AT,2026-04-22,2026-04-26,0.3,2,quantile,997.677266239129
ILI incidence,AT,2026-04-22,2026-04-26,0.35,2,quantile,1090.09013771839
ILI incidence,AT,2026-04-22,2026-04-26,0.4,2,quantile,1200.31049837218
ILI incidence,AT,2026-04-22,2026-04-26,0.45,2,quantile,1286.28597979557
ILI incidence,AT,2026-04-22,2026-04-26,0.5,2,quantile,1386.32818693845
ILI incidence,AT,2026-04-22,2026-04-26,0.55,2,quantile,1498.16191461261
ILI incidence,AT,2026-04-22,2026-04-26,0.6,2,quantile,1642.27816572397
ILI incidence,AT,2026-04-22,2026-04-26,0.65,2,quantile,1777.11763774787
ILI incidence,AT,2026-04-22,2026-04-26,0.7,2,quantile,1901.57400425706
ILI incidence,AT,2026-04-22,2026-04-26,0.75,2,quantile,2070.32430656354
ILI incidence,AT,2026-04-22,2026-04-26,0.8,2,quantile,2221.20862282878
ILI incidence,AT,2026-04-22,2026-04-26,0.85,2,quantile,2460.1144399573
ILI incidence,AT,2026-04-22,2026-04-26,0.9,2,quantile,2710.77232926535
ILI incidence,AT,2026-04-22,2026-04-26,0.95,2,quantile,3276.17955090344
ILI incidence,AT,2026-04-22,2026-04-26,0.975,2,quantile,3710.58146978351
ILI incidence,AT,2026-04-22,2026-04-26,0.99,2,quantile,4389.36003912648
ILI incidence,AT,2026-04-22,2026-05-03,0.01,3,quantile,174.017435373958
ILI incidence,AT,2026-04-22,2026-05-03,0.025,3,quantile,290.413689042631
ILI incidence,AT,2026-04-22,2026-05-03,0.05,3,quantile,360.201643706162
ILI incidence,AT,2026-04-22,2026-05-03,0.1,3,quantile,480.661965598002
ILI incidence,AT,2026-04-22,2026-05-03,0.15,3,quantile,614.122943081618
ILI incidence,AT,2026-04-22,2026-05-03,0.2,3,quantile,705.884834363042
