target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-04-08,2026-04-19,0.95,3,quantile,3080.55045641524
ILI incidence,AT,2026-04-08,2026-04-19,0.975,3,quantile,3702.32487609574
ILI incidence,AT,2026-04-08,2026-04-19,0.99,3,quantile,4489.62499541684
ILI incidence,AT,2026-04-08,2026-04-26,0.01,4,quantile,82.0622459486232
ILI incidence,AT,2026-04-08,2026-04-26,0.025,4,quantile,139.174615947244
ILI incidence,AT,2026-04-08,2026-04-26,0.05,4,quantile,204.464110748406
ILI incidence,AT,2026-04-08,2026-04-26,0.1,4,quantile,296.448319650548
ILI incidence,AT,2026-04-08,2026-04-26,0.15,4,quantile,367.99989517915
ILI incidence,AT,2026-04-08,2026-04-26,0.2,4,quantile,447.146718703416
ILI incidence,AT,2026-04-08,2026-04-26,0.25,4,quantile,535.617582541108
ILI incidence,AT,2026-04-08,2026-04-26,0.3,4,quantile,620.176858048206
ILI incidence,AT,2026-04-08,2026-04-26,0.35,4,quantile,725.865587285553
ILI incidence,AT,2026-04-08,2026-04-26,0.4,4,quantile,803.734646340978
ILI incidence,AT,2026-04-08,2026-04-26,0.45,4,quantile,911.496118103
ILI incidence,AT,2026-04-08,2026-04-26,0.5,4,quantile,1005.76261616767
ILI incidence,AT,2026-04-08,2026-04-26,0.55,4,quantile,1122.55661120732
ILI incidence,AT,2026-04-08,2026-04-26,0.6,4,quantile,1249.55848397001
ILI incidence,AT,2026-04-08,2026-04-26,0.65,4,quantile,1396.22473470091
ILI incidence,AT,2026-04-08,2026-04-26,0.7,4,quantile,1541.88677193078
ILI incidence,AT,2026-04-08,2026-04-26,0.75,4,quantile,1729.22762836126
ILI incidence,AT,2026-04-08,2026-04-26,0.8,4,quantile,1930.77447147241
ILI incidence,AT,2026-04-08,2026-04-26,0.85,4,quantile,2297.66183960028
ILI incidence,AT,2026-04-08,2026-04-26,0.9,4,quantile,2658.12901934909
ILI incidence,AT,2026-04-08,2026-04-26,0.95,4,quantile,3199.03133700421
ILI incidence,AT,2026-04-08,2026-04-26,0.975,4,quantile,3702.09246997569
ILI incidence,AT,2026-04-08,2026-04-26,0.99,4,quantile,4879.93851302211
ILI incidence,AT,2026-04-08,2026-04-05,,1,median,1312.89266944812
ILI incidence,AT,2026-04-08,2026-04-12,,2,median,1185.90059956666
ILI incidence,AT,2026-04-08,2026-04-19,,3,median,1085.42923978475
ILI incidence,AT,2026-04-08,2026-04-26,,4,median,1005.76261616767
