"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-04-22,1,2026-04-19,0.01,1843.63,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.025,1852.425,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.05,1864.7,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.1,1876.9,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.15,1885.85,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.2,1891.8,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.25,1896.75,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.3,1902.7,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.35,1908,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.4,1913.6,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.45,1919.55,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.5,1923.5,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.55,1926.9,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.6,1933.6,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.65,1942.35,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.7,1947.3,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.75,1953.25,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.8,1956.2,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.85,1960.15,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.9,1969.3,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.95,1991.35,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.975,1998,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.99,2007.38,"quantile","ILI incidence","AT"
2026-04-22,1,2026-04-19,0.01,40.96,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.025,41.475,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.05,42.95,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.1,45,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.15,46,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.2,47.8,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.25,48.75,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.3,50,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.35,50,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.4,51,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.45,52,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.5,52.5,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.55,53.45,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.6,55,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.65,55.35,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.7,56.3,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.75,58,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.8,59,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.85,59.15,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.9,61,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.95,64,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.975,66,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.99,69.02,"quantile","ILI incidence","BE"
2026-04-22,1,2026-04-19,0.01,0,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.025,0,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.05,0,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.1,0,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.15,0,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.2,0,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.25,0,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.3,1,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.35,1,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.4,1,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.45,1,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.5,1,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.55,1,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.6,1,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.65,1,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.7,2,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.75,2,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.8,2,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.85,2,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.9,3,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.95,3,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.975,3,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.99,4.01,"quantile","ILI incidence","HR"
2026-04-22,1,2026-04-19,0.01,7.98,"quantile","ILI incidence","CZ"
2026-04-22,1,2026-04-19,0.025,9,"quantile","ILI incidence","CZ"
2026-04-22,1,2026-04-19,0.05,9,"quantile","ILI incidence","CZ"
2026-04-22,1,2026-04-19,0.1,10,"quantile","ILI incidence","CZ"
2026-04-22,1,2026-04-19,0.15,11,"quantile","ILI incidence","CZ"
2026-04-22,1,2026-04-19,0.2,12,"quantile","ILI incidence","CZ"
2026-04-22,1,2026-04-19,0.25,12,"quantile","ILI incidence","CZ"
2026-04-22,1,2026-04-19,0.3,12,"quantile","ILI incidence","CZ"
2026-04-22,1,2026-04-19,0.35,13,"quantile","ILI incidence","CZ"
