"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-04-08,1,2026-04-05,0.025,23.475,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.05,24.95,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.1,25,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.15,27,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.2,29,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.25,29,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.3,30,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.35,31,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.4,32,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.45,32.55,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.5,33,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.55,33,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.6,34,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.65,35,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.7,35.3,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.75,36,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.8,37,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.85,38,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.9,41,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.95,41.05,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.975,46.1,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.99,50.01,"quantile","ILI incidence","CZ"
2026-04-08,1,2026-04-05,0.01,92.99,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.025,94.475,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.05,100.85,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.1,102.9,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.15,106,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.2,107.8,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.25,109.75,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.3,111,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.35,113.65,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.4,116.6,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.45,117.55,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.5,119,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.55,121,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.6,122,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.65,123.35,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.7,125.3,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.75,127.25,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.8,128.2,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.85,131,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.9,135,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.95,137.05,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.975,138,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.99,140.08,"quantile","ILI incidence","DK"
2026-04-08,1,2026-04-05,0.01,248.88,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.025,250,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.05,254.8,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.1,261.9,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.15,266,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.2,270,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.25,273.75,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.3,279.7,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.35,280,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.4,283,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.45,284,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.5,286,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.55,287.45,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.6,289,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.65,292,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.7,295,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.75,300,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.8,301.4,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.85,304,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.9,308,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.95,312.2,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.975,319.525,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.99,322,"quantile","ILI incidence","EE"
2026-04-08,1,2026-04-05,0.01,133.89,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.025,134.95,"quantile","ILI incidence","FR"
